A,B,C,D,E,F,G,H,I,J,K,L
'DBTS','CPPPGO','CPPPGO2','3HAD120','3HAD121','ACOAD2f','EC55989_4205',,,'EC55989_4289','EC55989_4800','EC55989_3887'
'DDPA','CTECOAI7_copy1','3HAD161','3HAD120','3HAD121','ACOAD3f','EC55989_0148',,,'EC55989_4289','EC55989_4800','EC55989_3885'
'DHAD1','CTECOAI7_copy1','3OAR161','3HAD120','3HAD121','ACOAD4f','EC55989_4075',,,'EC55989_0344','EC55989_0955','EC55989_3016'
'DHAD2','CTECOAI7_copy1','3OAS161','3HAD120','3HAD121','ACOAD5f','EC55989_1546',,,'EC55989_1872','EC55989_0733','EC55989_2890'
'DHDPRy','DALAt2pp','EX_ala__D_e','3HAD120','3HAD121','ECOAH1','EC55989_4204',,,'EC55989_4252','EC55989_2872','EC55989_3938'
'DHDPS','DALAt2pp','DALAtex','3HAD120','3HAD121','ECOAH2','EC55989_2556',,,'EC55989_1778','EC55989_1777','EC55989_4438'
'DHFR','DMPPS','IPDDI','3HAD120','3HAD121','ECOAH3','EC55989_4452',,,'EC55989_1948','EC55989_4500','EC55989_1870'
'DHFS','ECOAH1','3HAD100','3HAD120','3HAD121','ECOAH4','EC55989_1306',,,'EC55989_1948','EC55989_1870','EC55989_0708'
'DHNPA2r','ECOAH1','3HAD40','3HAD120','3HAD121','ECOAH5','EC55989_2693',,,'EC55989_1948','EC55989_1870','EC55989_0706'
'DHORTS','ECOAH1','3HAD60','3HAD120','3HAD121','HACD1','EC55989_2792',,,'EC55989_1948','EC55989_1870','EC55989_0705'
'DHPPDA2','ECOAH1','3HAD80','3HAD120','3HAD121','HACD2','EC55989_2404',,,'EC55989_1948','EC55989_1870','EC55989_0707'
'DHPS2','ECOAH1','3OAR100','3HAD120','3HAD121','HACD3','EC55989_1438',,,'EC55989_3054','EC55989_3809','EC55989_1870'
'DHPTDCs2','ECOAH1','3OAR40','3HAD120','3HAD121','HACD4','EC55989_4532',,,'EC55989_3190','EC55989_0543','EC55989_3200'
'DHQS','ECOAH1','3OAR60','3HAD120','3HAD121','HACD5','EC55989_2279',,,'EC55989_3190','EC55989_0543','EC55989_5050'
'DHQTi','ECOAH1','3OAR80','3HAD120','3HAD141','ACACT1r','EC55989_2281',,,'EC55989_3192','EC55989_0543','EC55989_3200'
'DMATT','ECOAH1','3OAS100','3HAD120','3HAD141','ACACT2r','EC55989_4275',,,'EC55989_3192','EC55989_0543','EC55989_5050'
'DNMPPA','ECOAH1','3OAS60','3HAD120','3HAD141','ACACT3r','EC55989_2358',,,'EC55989_3191','EC55989_0543','EC55989_3200'
'DNTPPA','ECOAH1','3OAS80','3HAD120','3HAD141','ACACT4r','EC55989_0136',,,'EC55989_3191','EC55989_0543','EC55989_5050'
'DPCOAK','ECOAH2','3HAD100','3HAD120','3HAD141','ACACT5r','EC55989_0003',,,'EC55989_3938','EC55989_2482','EC55989_4796'
'DPR','ECOAH2','3HAD40','3HAD120','3HAD141','ACOAD1f','EC55989_4498',,,'EC55989_3938','EC55989_2483','EC55989_4796'
'DTMPK','ECOAH2','3HAD60','3HAD120','3HAD141','ACOAD2f','EC55989_2280',,,'EC55989_3155','EC55989_4500','EC55989_4438'
'DXPRIi','ECOAH2','3HAD80','3HAD120','3HAD141','ACOAD3f','EC55989_2815',,,'EC55989_3155','EC55989_4438','EC55989_0708'
'DXPS','ECOAH2','3OAR100','3HAD120','3HAD141','ACOAD4f','EC55989_4277',,,'EC55989_3155','EC55989_4438','EC55989_0706'
'E4PD','ECOAH2','3OAR40','3HAD120','3HAD141','ACOAD5f','EC55989_1249',,,'EC55989_3155','EC55989_4438','EC55989_0705'
'EGMEACPR','ECOAH2','3OAR60','3HAD120','3HAD141','ECOAH1','EC55989_2282',,,'EC55989_3155','EC55989_4438','EC55989_0707'
'EPMEACPR','ECOAH2','3OAR80','3HAD120','3HAD141','ECOAH2','EC55989_2284',,,'EC55989_3154','EC55989_4500','EC55989_4438'
'FCLT','ECOAH2','3OAS100','3HAD120','3HAD141','ECOAH3','EC55989_1420',,,'EC55989_3154','EC55989_4438','EC55989_0708'
'FMNAT','ECOAH2','3OAS60','3HAD120','3HAD141','ECOAH4','EC55989_4242',,,'EC55989_3154','EC55989_4438','EC55989_0706'
'G1PACT','ECOAH2','3OAS80','3HAD120','3HAD141','ECOAH5','EC55989_0071',,,'EC55989_3154','EC55989_4438','EC55989_0705'
'G1SAT','ECOAH3','3HAD100','3HAD120','3HAD141','HACD1','EC55989_0069',,,'EC55989_3154','EC55989_4438','EC55989_0707'
'G3PD2','ECOAH3','3HAD40','3HAD120','3HAD141','HACD2','EC55989_0070',,,'EC55989_3153','EC55989_4500','EC55989_4438'
'G5SADs','ECOAH3','3HAD60','3HAD120','3HAD141','HACD3','EC55989_0072',,,'EC55989_3153','EC55989_4438','EC55989_0708'
'GCALDD','ECOAH3','3HAD80','3HAD120','3HAD141','HACD4','EC55989_0963',,,'EC55989_3153','EC55989_4438','EC55989_0706'
'GF6PTA','ECOAH3','3OAR100','3HAD120','3HAD141','HACD5','EC55989_3616',,,'EC55989_3153','EC55989_4438','EC55989_0705'
'GK1','ECOAH3','3OAR40','3HAD120','3OAR100','ACACT5r','EC55989_1311',,,'EC55989_3153','EC55989_4438','EC55989_0707'
'GLNS','ECOAH3','3OAR60','3HAD120','3OAR100','ACOAD5f','EC55989_0176',,,'EC55989_4500','EC55989_0543','EC55989_4438'
'GLUPRT','ECOAH3','3OAR80','3HAD120','3OAR100','ECOAH5','EC55989_0820',,,'EC55989_4500','EC55989_3200','EC55989_4438'
'GLUR','ECOAH3','3OAS100','3HAD120','3OAR100','HACD5','EC55989_1204',,,'EC55989_4500','EC55989_3214','EC55989_1870'
'GLUTRR','ECOAH3','3OAS60','3HAD120','3OAR121','ACACT1r','EC55989_2800',,,'EC55989_4500','EC55989_4438','EC55989_5050'
'GLUTRS','ECOAH3','3OAS80','3HAD120','3OAR121','ACACT2r','EC55989_3018',,,'EC55989_4500','EC55989_4438','EC55989_0520'
'GMPS2','ECOAH4','3HAD100','3HAD120','3OAR121','ACACT3r','EC55989_3019',,,'EC55989_4499','EC55989_3385','EC55989_4438'
'GRTT','ECOAH4','3OAR100','3HAD120','3OAR121','ACACT4r','EC55989_3235',,,'EC55989_3801','EC55989_0143','EC55989_2804'
'GTPCI','ECOAH4','3OAS100','3HAD120','3OAR121','ACACT5r','EC55989_0827',,,'EC55989_4395','EC55989_0743','EC55989_2714'
'GTPCII2','FACOAE120','3HAD120','3HAD120','3OAR121','ACOAD1f','EC55989_4097',,,'EC55989_4395','EC55989_2714','EC55989_0745'
'HBZOPT','FACOAE120','3OAR120','3HAD120','3OAR121','ACOAD2f','EC55989_0128',,,'EC55989_4395','EC55989_2714','EC55989_0744'
'HCO3E','FACOAE120','3OAS120','3HAD120','3OAR121','ACOAD3f','EC55989_0010',,,'EC55989_0543','EC55989_0947','EC55989_4433'
'HISTD','FACOAE160','3HAD160','3HAD120','3OAR121','ACOAD4f','EC55989_1182',,,'EC55989_0543','EC55989_0947','EC55989_4434'
'HISTP','FACOAE160','3OAR160','3HAD120','3OAR121','ACOAD5f','EC55989_0828',,,'EC55989_0543','EC55989_3531','EC55989_4433'
'HMBS','FACOAE160','3OAS160','3HAD120','3OAR121','ECOAH1','EC55989_0871',,,'EC55989_0543','EC55989_3531','EC55989_4434'
'HPPK2','FACOAE161','3HAD161','3HAD120','3OAR121','ECOAH2','EC55989_4424',,,'EC55989_0543','EC55989_4438','EC55989_0708'
'HSDy','FACOAE161','3OAR161','3HAD120','3OAR121','ECOAH3','EC55989_2903',,,'EC55989_0543','EC55989_4438','EC55989_0706'
'HSK','FACOAE161','3OAS161','3HAD120','3OAR121','ECOAH4','EC55989_1908',,,'EC55989_0543','EC55989_4438','EC55989_0705'
'HSST','FE2tex','EX_fe3_e','3HAD120','3OAR121','ECOAH5','EC55989_0631',,,'EC55989_0543','EC55989_4438','EC55989_0707'
'HSTPT','FUM','EX_succ_e','3HAD120','3OAR121','HACD1','EC55989_0102',,,'EC55989_1439','EC55989_0886','EC55989_3472'
'ICDHyr','FUM','SUCCtex','3HAD120','3OAR121','HACD2','EC55989_4812',,,'EC55989_3200','EC55989_4438','EC55989_0708'
'ICYSDS','G3PAT160','ACPPAT160','3HAD120','3OAR121','HACD3','EC55989_3605',,,'EC55989_3200','EC55989_4438','EC55989_0706'
'IG3PS','G3PAT160','APG3PAT160','3HAD120','3OAR121','HACD4','EC55989_0952',,,'EC55989_3200','EC55989_4438','EC55989_0705'
