A,B,C,D,E,F,G,H,I,J,K,L
'ARGSS','ACOAD1f','3OAR100','EX_o2_e','GHMT2r','PPC','EC042_2570','EC042_0783','EC042_2632','EC042_4118','EC042_3135','EC042_4293'
'ASAD','ACOAD1f','3OAR40','EX_o2_e','MOX','PDX5PO2','EC042_4408','EC042_0783','EC042_2631','EC042_4122','EC042_1945','EC042_2017'
'ASP1DC','ACOAD1f','3OAR60','EX_o2_e','MOX','PPC','EC042_1004','EC042_0783','EC042_2633','EC042_4122','EC042_1945','EC042_2018'
'ASPCT','ACOAD1f','3OAR80','EX_o2_e','MTHFC','PPC','EC042_0864','EC042_2632','EC042_0784','EC042_4122','EC042_1945','EC042_4293'
'ASPK','ACOAD1f','3OAS100','EX_o2_e','MTHFD','PPC','EC042_0867','EC042_2632','EC042_0782','EC042_4122','EC042_2017','EC042_3135'
'ASPTA','ACOAD1f','3OAS60','EX_o2_e','PGCD','PPC','EC042_0737','EC042_0784','EC042_2631','EC042_4122','EC042_2018','EC042_3135'
'ATPPRT','ACOAD1f','3OAS80','EX_o2_e','PGL','RPE','EC042_2979','EC042_0784','EC042_2633','EC042_4122','EC042_3135','EC042_4293'
'BMOCOS','ACOAD2f','3HAD100','EX_o2_e','PGL','TKT2','EC042_3036','EC042_2631','EC042_0782','EC042_4125','EC042_1945','EC042_2017'
'BMOGDS1','ACOAD2f','3HAD40','EX_o2_e','PPC','PSERT','EC042_4189','EC042_0782','EC042_2633','EC042_4125','EC042_1945','EC042_2018'
'BMOGDS2','ACOAD2f','3HAD60','EX_o2_e','PPC','PSP_L','EC042_0173','EC042_3277','EC042_4077','EC042_4125','EC042_1945','EC042_4293'
'BPNT','ACOAD2f','3HAD80','EX_o2_e','PPC','UGLYCH','EC042_3339','EC042_3277','EC042_4080','EC042_4125','EC042_2017','EC042_3135'
'BTS5','ACOAD2f','3OAR100','EX_o2_e','PPC','URIC','EC042_0861','EC042_3277','EC042_4078','EC042_4125','EC042_2018','EC042_3135'
'CA2tex','ACOAD2f','3OAR40','EX_o2_e','PPC','XAND','EC042_3981','EC042_3277','EC042_4079','EC042_4125','EC042_3135','EC042_4293'
'CAt6pp','ACOAD2f','3OAR60','EX_succ_e','PPPGO','SUCDi','EC042_4149','EC042_1264','EC042_4461','EC042_4124','EC042_1945','EC042_2017'
'CDPMEK','ACOAD2f','3OAR80','3HAD100','3HAD120','ACACT5r','EC042_0033','EC042_1859','EC042_3558','EC042_4124','EC042_1945','EC042_2018'
'CHORM','ACOAD2f','3OAS100','3HAD100','3HAD120','ACOAD5f','EC042_2679','EC042_3647','EC042_3124','EC042_4124','EC042_1945','EC042_4293'
'CHORS','ACOAD2f','3OAS60','3HAD100','3HAD120','ECOAH5','EC042_2556','EC042_3651','EC042_0421','EC042_4124','EC042_2017','EC042_3135'
'CHRPL','ACOAD2f','3OAS80','3HAD100','3HAD120','HACD5','EC042_3352','EC042_3409','EC042_4150','EC042_4124','EC042_2018','EC042_3135'
'CLt3_2pp','ACOAD3f','3HAD100','3HAD100','3HAD140','ACACT6r','EC042_1129',,,'EC042_4124','EC042_3135','EC042_4293'
'CLtex','ACOAD3f','3HAD40','3HAD100','3HAD140','ECOAH6','EC042_3468',,,'EC042_4121','EC042_1945','EC042_2017'
'COBALT2tex','ACOAD3f','3HAD60','3HAD100','3HAD140','HACD6','EC042_3650',,,'EC042_4121','EC042_1945','EC042_2018'
'COBALT2tpp','ACOAD3f','3HAD80','3HAD100','3OAR120','ACACT5r','EC042_1860',,,'EC042_4121','EC042_1945','EC042_4293'
'CPMPS','ACOAD3f','3OAR100','3HAD100','3OAR120','ACOAD5f','EC042_0459',,,'EC042_4121','EC042_2017','EC042_3135'
'CS','ACOAD3f','3OAR40','3HAD100','3OAR120','ECOAH5','EC042_0031',,,'EC042_4121','EC042_2018','EC042_3135'
'CTPS2','ACOAD3f','3OAR60','3HAD100','3OAR120','HACD5','EC042_0102',,,'EC042_4121','EC042_3135','EC042_4293'
'CU2tex','ACOAD3f','3OAR80','3HAD100','3OAS120','ACACT5r','EC042_4152',,,'EC042_4123','EC042_1945','EC042_2017'
'CU2tpp','ACOAD3f','3OAS100','3HAD100','3OAS120','ACOAD5f','EC042_1168',,,'EC042_4123','EC042_1945','EC042_2018'
'CYSS','ACOAD3f','3OAS60','3HAD100','3OAS120','ECOAH5','EC042_0171',,,'EC042_4123','EC042_1945','EC042_4293'
'CYSTL','ACOAD3f','3OAS80','3HAD100','3OAS120','HACD5','EC042_0458',,,'EC042_4123','EC042_2017','EC042_3135'
